"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"experiment"
"05/26/2021 20:29:51:540 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","3","3","3","3","3","12","12","12","12","12","25","25","25","25","25"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"[reporter]","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5"
,"0.41623903134699813","0.4108350702744049","0.3977366410900459","0.3935769670012624","0.3882992445597025","0.4650058699225173","0.4459494787489977","0.4702189122978935","0.4625533971558697","0.4464047822374039","0.5092014713610094","0.5103543961352655","0.4807958429561201","0.49189528392685256","0.4828906961988811"
,"0.4163573150900019","0.41241809908999","0.3966393762183238","0.3995611233153237","0.39700806909876113","0.4705109998622145","0.4493401413982719","0.4665662197356998","0.47571722245476983","0.45034392763580666","0.5060523222551622","0.5087881372112267","0.4791025730585635","0.49400516795865607","0.4885223769411495"
,"0.41516158192090397","0.4087538585468023","0.3947322552270112","0.40469831510493676","0.396689659024268","0.4658272401433692","0.44976658417042753","0.4745968335964031","0.4727886004294358","0.44859342294529037","0.5102100035836789","0.5022377657566985","0.47865941413111246","0.49500215053763474","0.4827382231521801"
,"0.4140464907858624","0.4105962360446573","0.39738082637899436","0.4080409782673063","0.41086121645898066","0.4712223656679874","0.44586343825665914","0.48281929774479015","0.47283934362747526","0.4471623990208081","0.5193991347218033","0.4989857813968054","0.47552540498700735","0.5067907673112914","0.4825575362878744"
,"0.4160043334537072","0.4224542613178672","0.4003931011159957","0.4114314517317615","0.42161613335664755","0.4733513658755037","0.4496369384040619","0.486383427495292","0.4737772907037691","0.44202697020971166","0.5056641682079237","0.49859307625970173","0.4925403145968538","0.4773712750366391","0.4775627824936613"
,"0.4191349672840194","0.42912479836718587","0.3983178950194658","0.4166469434934013","0.4270836962357573","0.48155472098263613","0.450917714763076","0.4870534664551646","0.47435069944694896","0.4489519060974343","0.5110729883926812","0.5165130042626799","0.4982987352812909","0.4904522613065328","0.4853528733739501"
,"0.42048849537872274","0.43134025159331324","0.39936484687083873","0.41356153116102506","0.435459013452915","0.4871579417944478","0.4505639992675334","0.4904376109916815","0.4808544207667876","0.45142928091050166","0.5108163028781153","0.49591952999821975","0.5034151497357602","0.49848219045311365","0.49671662788810156"
,"0.4279658618753511","0.42840346915398564","0.40857460562012254","0.41592063028888265","0.43179716073147256","0.4900144217929317","0.4520513741692115","0.4912610530177952","0.48474585169213485","0.45069259749516344","0.5055555013893631","0.5020260349478126","0.5084904505645247","0.5106786506081854","0.49504836907359123"
,"0.4269033407572381","0.42930825537502065","0.41391304939910806","0.42396655440715353","0.4322724942009523","0.4911065440778796","0.4615224825839137","0.4917283208469788","0.4795085059171598","0.45627173089549994","0.5084453402437856","0.5062326119662077","0.5048893515145207","0.4967870657840785","0.4952159324602232"
,"0.4329131782945736","0.43626650183805593","0.41273884580521725","0.4298665726209371","0.4300188056541505","0.48918838233971756","0.4707584205993019","0.4928183146614711","0.486719908727895","0.4610690067810132","0.5090817105765559","0.5081599999999998","0.5106827768945419","0.49432918900422035","0.4902780212238003"
